,Close
0,1.0
1,0.553
2,0.268
3,0.353
4,0.295
5,0.4
6,0.026
7,0.268
8,0.084
9,0.068
10,0.4
11,0.295
12,0.284
13,0.405
14,0.0
15,0.147
16,0.047
17,0.095
18,0.647
