,Close
0,1.0
1,0.874
2,0.707
3,0.623
4,0.414
5,0.121
6,0.297
7,0.573
8,0.623
9,0.54
10,0.531
11,0.54
12,0.502
13,0.377
14,0.0
15,0.038
